Titolo	Location	Tipologia del luogo	Tipologia dello Spazio	Temporalità dello Spazio	Definizione dello spazio	Note sullo spazio	Interpretazione	osm_id	lat_long	Note
Artico nero. La lunga notte dei popoli dei ghiacci	Ellesmere, isola canadese	isola, pianura, costa		Passato	Spazio reale	Altro luogo di ricollocazione degli Intuit di Inukjuak (vedi Inukjuak e Corwallis).	Menzione esplicita	1656492	79.62156165,-76.77472178417383	
La festa nera	Milano	città		Futuro Prossimo	Spazio reale	Milano è un vasto centro urbano in cui vestigia d’ordine e disordine rampante si mescolano a seconda degli ambienti sociali. Fortemente e problematicamente multietnica, per quanto percorsa da attività illegali e circondata da baraccopoli e posti di blocco, a Milano ancora si svolge una vita relativamente normale, si lavora, si esce, si organizzano feste e attività culturali di vario genere. Ne sono nominate alcune vie e quartieri. Qui vivono Ali, Nicola e Misha, gli ultimi membri della troupe rimasti.	Menzione esplicita	44915	45.4641943,9.1896346	
La festa nera	Statale 45	collina, fiume, bosco		Futuro Prossimo	Spazio reale	Partendo da Piacenza (dove sono arrivati da Milano), Ali e la troupe si addentrano in una terra di nessuno da cui lo Stato si è praticamente ritirato, costellata da paesi abbandonati ma in cui sono sorte diverse comunità variamente dedite alla sopravvivenza pseudo-autarchica e a forme diverse di settarismo.	Menzione esplicita	68956675	 44.4501625,9.030353999999999	si riesce a segnare la strada?
La festa nera	Travo	paese, collina		Futuro Prossimo	Spazio reale	Sulla collina sopra Travo si trova la Confraternita del Serpente Nero. È una comunità autogestita di recupero per uomini che hanno commesso crimini contro le donne e, dopo aver scontato la pena in carcere, non possono più abitare nei normali centri urbani. La setta, dominata da un forte spirito di purificazione, integralismo e da dinamiche psicologiche distorte, offre ai confratelli una riabilitazione attraverso il lavoro agricolo, astinenza totale dai contatti con le donne e obbedienza alla comunità.	Menzione esplicita	43675	44.86246,9.545366	
La festa nera	Bobbio	paese, collina		Futuro Prossimo	Spazio reale	Nelle vicinanze di Bobbio, dopo il ponte che passa il Trebbia ormai prosciugato, c'è il territorio di Secondo Zion: una specie di comunità hippie a orientamento religioso dedita alla predicazione del credo secondo cui il mondo è finito nel 2015. Stabilitisi in una ex colonia sportiva di preti, gli abitanti rifiutano la tecnologia e la proprietà privata, vivono di ciò che trovano o che gli altri scartano.	Menzione esplicita	43560	44.769273,9.3862814	
La festa nera	Coli	paese, collina		Futuro Prossimo	Spazio reale	Coli è il paese nominato più vicino alla scuola Frank, una scuola-lager in cui, in una cornice da spartano collegio del secolo scorso, si addestrano in realtà bambini soldato seguendo quello che viene definito un nuovo paradigma educativo, più adatto alla società contemporanea. Benché la frazione in cui si è insediata la scuola sia sorprendentemente servita di acqua calda e elettricità, essa si trova ai confini estremi della civiltà.	Menzione esplicita	43488	44.744756,9.414565	
La festa nera	Ottone	paese, collina, bosco		Futuro Prossimo	Spazio reale	Ultimo paese menzionato prima del borgo dove è insediato il culto della Luna Nuova, una setta macabra dedita all’accettazione e al culto del dolore come pratica purificatrice, ricercato attraverso mutilazioni autoinflitte. Per raggiungere l’ultima comunità, la Mano, i personaggi si avventurano e vagano nei boschi intorno a Ottone, senza che vengano offerte indicazioni geografiche più specifiche.	Menzione esplicita	43361	44.6232492,9.3326598	
La festa nera										
Divorare il cielo	Speziale	campagna	Aperto > Naturale > Rurale > Campagna					4452527394	40.7913913,17.4598637	
La casa mangia le parole	Roma	città	Aperto > Urbano > Città					41485	41.8933203,12.4829321	
L'olmo grande	Friuli Venezia Giulia	campagna	Aperto > Naturale > Rurale > Campagna					179296	46.1510420,13.0559040	
Una notte sull'alpe della luna	Appennino	montagna	Aperto > Naturale > Rilievo > Montagna	Presente	Spazio reale			823645399	42.9778013,13.0796986	
L'albero della fortuna	Calabria	paese	Aperto > Urbano > Paese					1783980	39.0565974,16.5249864	
Il fico di Betania	Palestina	città	Aperto > Urbano > Città			Territori Palestinesi!		1703814	31.4624210,34.2627215	
La colomba sul pino e la vecchia sotto il fico	Liguria	città, bosco	Aperto > Urbano > Città; Aperto > Naturale > Arboreo > Bosco					301482	44.4777617,8.7026296	
La colomba sul pino e la vecchia sotto il fico	Lambrate	città, bosco	Aperto > Urbano > Città; Aperto > Naturale > Arboreo > Bosco					3356418408	45.4824346,9.2410536	
Canto degli alberi	Mantova	città	Aperto > Urbano > Città					43798	45.1692628,10.6708365	
L'assemblea degli animali		bosco	Aperto > Naturale > Arboreo > Bosco							
Il bosco del confine	Carso	bosco	Aperto > Naturale > Arboreo > Bosco					11801461	45.7550942,13.7932829	
Il bosco del confine	Balcani	bosco	Aperto > Naturale > Arboreo > Bosco					4016746	41.7785016,23.8146770	
L'imitazione di una foglia che cade										
Noi	Nessuna geografia esplicita	bosco		Presente	Spazio fittizio	Non vi è nessuna geografia esplicita, solo "il paesaggio", come dichiarato dal narratore: "Non ci interessano i dettagli geografici né qualsiasi specifica localizzazione".	Deduzione dalla descrizione del luogo, Menzione esplicita		38.7200, -24.2200	
Dopo la pioggia	Roma	città	Aperto > Urbano > Città					41485	41.8933203,12.4829321	
Bjula della betulle										
Il bosco di là	Italia settentrionale	bosco	Aperto > Naturale > Arboreo > Bosco					0	45.378365551727605,10.217267368233305	
Erba matta		città	Aperto > Urbano > Città							
La quercia di Bruegel										
Il pioppo del Sempione										
Tasmania										
Solo di uomini il bosco può morire	Foresta di Cuma	bosco	Aperto > Naturale > Arboreo > Bosco					10207399661	40.84922,14.04896	
Il concerto del viale dei lecci	Forlì	città	Aperto > Urbano > Città					42907	44.2227278,12.0412730	
Romanzo senza umani	Mestre	città		Presente	Spazio reale	Residenza principale del protagonista, Mauro Barbi. Come la maggior parte dei luoghi che compaiono nel romanzo, la città è brevemente evocata, caratterizzata soprattutto per la mobilità che garantisce rispetto a Venezia.	Menzione esplicita	29997772	45.4943063,12.2418053	
Romanzo senza umani	Monaco	città, interno		Presente	Spazio reale	Punto di partenza del viaggio di Barbi, raggiunto in treno da Mestre. Come altri luoghi del romanzo, Monaco non viene quasi descritta ed è messa in scena attraverso pochi tratti stereotipici del folklore bavarese, per passare poi all’interno della casa del vecchio professore di Barbi, anch’essa poco caratterizzata e semplice sfondo della discussione tra i due.	Menzione esplicita	62428	48.1371079,11.5753822	
Romanzo senza umani	Lindau	paese, interno, lago		Presente	Spazio reale	Prima tappa del viaggio, da cui si apre la prima visione del lago di Costanza. Anche di questo luogo sono deliberatamente evocati solo i tratti che lo allineano alla serenità del tradizionale ‘locus amoenus’.	Menzione esplicita	959426	47.550753,9.6926624	
Romanzo senza umani	Lago di Costanza	lago, bosco, interno		Passato	Spazio reale	I laghi, in generale, sono presentati come elementi fondamentali per il pianeta, sia in quanto risorse d’acqua dolce, che in quanto preziosi campanelli d’allarme dei cambiamenti climatici. Nel corso del romanzo, il racconto del viaggio di Barbi si alterna a stralci narrativi ambientati nel 1752-73 in varie località lungo il lago di Costanza, quando questo si congelò per mesi.	Menzione esplicita	1156846	47.6477691,9.347179599999999	
Romanzo senza umani	Bregenz	paese, lago, interno		Presente	Spazio reale	Ulteriore tappa del viaggio. Come altri luoghi del romanzo, anche questo è descritto in maniera essenziale per la sua "aria di un triste sanatorio vista lago", e rappresentato attraverso spazi facilmente immaginabili e quasi intercambiabili come stanze d’albergo, ristoranti, pub.	Menzione esplicita	75073	47.5025779,9.7472924	
Romanzo senza umani	Bologna	città		Presente	Spazio reale	Stimolato dalla somiglianza tra la stanza d’albergo e quella in cui viveva da giovane studente, Bologna è evocata come cornice urbana della vita quotidiana negli anni universitari, corrispondenti al periodo iniziale della relazione con Anna.	Menzione esplicita	43172	44.4938203,11.3426327	
Romanzo senza umani	Rorschach	paese		Presente	Spazio reale	Luogo di passaggio durante il viaggio di Barbi. Come altri luoghi del romanzo, anche questo è solamente abbozzato e compare soprattutto in quanto evoca nel protagonista ricordi legati all’omonimo test psicologico e ad alcune persone ad esso connesse.	Menzione esplicita	1683927	47.4779686,9.4914025	
Romanzo senza umani	Costanza	città, lago, interno		Presente	Spazio reale	La città che dà il nome al lago è descritta brevemente, ne sono rappresentate le terme e il lago stesso, su cui il protagonista fa una gita in battello.	Menzione esplicita	2784842	47.659216,9.1750718	
Romanzo senza umani	Dübendorf	paese		Presente	Spazio reale	Dopo la brevissima comparsa di un caffè di Zurigo, la scena si sposta in una cittadina ad una decina di chilometri di distanza: qui vive Anna, ex compagna del protagonista il confronto con la quale è l’intimo e autentico scopo del viaggio. Descritta come stereotipo della tranquilla cittadina svizzera, ordinata e neutra al punto da sembrare irreale (paragonata a Paperopoli), fuori dal tempo e dalla storia.	Menzione esplicita	1682111	47.3969942,8.6185666	
Romanzo senza umani										
Il cedro del Libano										
Tundra e Peive		città	Aperto > Urbano > Città							
Prima della rivolta	Milano	città	Aperto > Urbano > Città					44915	45.4641943,9.1896346	
Una voce dal profondo	Italia							365331	42.6384261,12.6742970	
L'impronta		bosco	Aperto > Naturale > Arboreo > Bosco							
Il fuoco invisibile. Storia umana di un disastro naturale										
La compagnia del gelso										
All'ombra del ricino										
Vita immaginaria di un alloro										
L'ultima foresta	Foresta di Białowieża	bosco, campagna, montagna	Aperto > Naturale > Arboreo > Bosco; Aperto > Naturale > Rurale > Campagna	Futuro Prossimo	Spazio reale	Ciò che rimane della foresta primordiale che nel medioevo ricopriva tutta l’Europa. Luogo di eccidi nazisti e pulizia etnica durante la Seconda Guerra Mondiale, ora è area di passaggio di una delle principali rotte di immigrazione illegale in Europa: una sorta di terra di nessuno attraversata da migranti e guardie di confine che sono in realtà milizie locali e criminali, dedite alla violenza sistematica, al furto e allo stupro. La foresta assume un alto valore simbolico del legame con la terra, con il sacro, e del conflitto ancestrale e violento tra uomo e natura.	Menzione esplicita	14705359	52.8649192,23.8810102	
Scintilla		bosco	Aperto > Naturale > Arboreo > Bosco							
Atlante Appennino. Un'ecobiografia	Appennino settentrionale	montagna	Aperto > Naturale > Rilievo > Montagna					276532495	44.3378141,11.2027931	
Il ritorno è lontano										
Il ritorno è lontano	Bologna	città	Aperto > Naturale > Rilievo > Montagna; Aperto > Urbano > Paese	Presente	Spazio reale	Bologna è presente soprattutto attraverso l’ambiente domestico di Sara, residenziale e borghese, e le frequenti passeggiate nei parchi cittadini e circostanti il centro urbano. Anche qui il mutamento climatico è percepito attraverso gli inverni sempre più miti e le estati sempre più calde.	Menzione esplicita	43172	44.4938203,11.3426327	
Il ritorno è lontano	Amburgo	città, campagna, bosco, fiume		Presente	Spazio reale	Città dove si trasferisce Nina per studiare botanica all’università. Sebbene la città non sia descritta ampiamente, di essa sono colti alcuni tratti essenziali e distintivi come l’odore dominante di brughiera e salmastro e la zona del lungofiume, particolarmente cara a Nina. Le cittadine circostanti visitate da Nina per svago o in occasione di manifestazioni contro il disboscamento o l’espansione delle miniere carbonifere della Ruhr sono spesso indicate solo con l’iniziale, mentre luoghi naturali come riserve, foreste (Teutoburgo, Hümmel, Jüterborg) o laghi (Binnenalster) sono nominati per esteso. La gita finale di Nina con la famiglia si svolge in una riserva naturale montuosa, non specificata, a un paio d’ore da Amburgo.	Menzione esplicita	62782	53.550341,10.000654	
Il predatore	Cimalta (inventato)	montagna, paese	Aperto > Naturale > Rilievo > Montagna; Aperto > Urbano > Paese	Presente	Spazio fittizio				38.7200, -24.2200	
La felicità del lupo	Milano	città		Presente	Spazio reale	Città dove è nato e ha vissuto a lungo Fausto con la ex compagna, Veronica. Qui ritorna brevemente per vendere la casa, concedendosi un breve giro in centro, tra le vie del Duomo e del bar Cova, vicino alla Scala. Il ritratto di Milano, benché più breve e meno aggressivo di quello che emerge da “Le otto montagne”, è quello di una città trafficata, nervosa e sovraffollata.	Menzione esplicita	44915	45.4641943,9.1896346	
La felicità del lupo	Fontana Fredda	paese, montagna, bosco		Presente	Spazio fittizio	Paese fittizio dove si trasferisce Fausto da Milano. Si è scelta a titolo esemplificativo per la collocazione nella mappa la località di Estoul, luogo in cui si trova il rifugio realmente gestito dall’autore e che presenta diverse somiglianze e assonanze con Fontana Fredda. Fontana Fredda è una piccola comunità montana a 1800 metri nei pressi di una stazione sciistica, a un paio di ore in auto da Milano, sotto il Monte Rosa (dove si trova il rifugio in cui lavora Silvia durante l’estate); citate anche la Valnera (che esiste effettivamente vicino alla Val di Ayas) e Colle Finestra (esistente, ma più a sud-ovest rispetto al Monte Rosa, in Piemonte); si intuiscono influenze del francese nel dialetto locale. In alcune interviste, Cognetti ha detto che Fontana Fredda, pur essendo inventato, è immaginata in Valchiusa ma nasce dalla combinazione immaginaria di luoghi della Valsesia e bar della Val d’Ayas.	Deduzione dalla biografia dell’autore	650253593	45.7579918,7.7650477	
La felicità del lupo	Capanna Quintino Sella (Monte Rosa)	montagna		Presente	Spazio reale	Rifugio a 3500 metri sul Monte Rosa. Qui durante l’estate lavora Silvia, la ragazza con cui Fausto comincia una relazione; è il luogo in cui prende forma più evidente l’incontro tra idealizzazione e realtà del lavoro in montagna, con inevitabili aggiustamenti di prospettiva ma anche inaspettate e positive scoperte.	Menzione esplicita	303518036	45.901389599999995,7.7929355	
Il carrubo e l'unità di misura del diamante	Sicilia	campagna	Aperto > Naturale > Rurale > Campagna					39152	37.5877940,14.1550480	
L'agave della Regina Vittoria	Italia settentrionale	città, paese	Aperto > Urbano > Città; Aperto > Urbano > Paese	Passato	Spazio reale		Menzione esplicita	33890846	41.8996571,12.3826951	
L'agave della Regina Vittoria	Inghilterra	città, paese	Aperto > Urbano > Città; Aperto > Urbano > Paese	Passato	Spazio reale		Menzione esplicita	58447	52.5310214,-1.2649062	
L'agave della Regina Vittoria	Mentone	città, paese	Aperto > Urbano > Città; Aperto > Urbano > Paese	Passato	Spazio reale		Menzione esplicita	74727	43.7753495,7.5029213	
